Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
1889735,regional,Stralsund Hbf,"54.308438,13.078028",Prora,"54.445002,13.564039"
1890044,regional,Prora,"54.445002,13.564039",Stralsund Hbf,"54.308438,13.078028"
1981329,regional,Rostock Hbf,"54.078197,12.131257",Berlin Hbf,"52.3928,13.036498"
1990643,regional,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
2064673,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
2154383,regional,Köln Messe/Deutz,"50.940874,6.975001",Köln Hbf,"50.942823,6.959197"
2157292,regional,Hamburg Hbf,"53.553533,10.00636",Rostock Hbf,"54.078197,12.131257"
2259736,regional,Ostkreuz,"52.503037,13.469105",Flughafen BER,"52.364808,13.511947"
2288985,regional,Berlin Hbf,"52.3928,13.036498",Rostock Hbf,"54.078197,12.131257"
2452570,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
2454576,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
2459724,regional,Mainz Römisches Theater,"49.993517,8.277393",Darmstadt Hbf,"49.872549,8.629707"
2460717,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
2543103,regional,Rostock Hbf,"54.078197,12.131257",Sassnitz,"54.516691,13.638964"
2545915,regional,Sassnitz,"54.516691,13.638964",Rostock Hbf,"54.078197,12.131257"
2548142,regional,Rostock Hbf,"54.078197,12.131257",Bad Kleinen,"53.766847,11.466496"
2548382,regional,Bad Kleinen,"53.766847,11.466496",Lübeck Hbf,"53.86767,10.669737"
2548662,regional,Lübeck Hbf,"53.86767,10.669737",Lüneburg,"53.249742,10.419873"
2549040,regional,Lüneburg,"53.249742,10.419873",Uelzen,"52.96998,10.553246"
2549262,regional,Uelzen,"52.96998,10.553246",Eschede,"52.741528,10.231226"
2550197,regional,Eschede,"52.741528,10.231226",Uelzen,"52.96998,10.553246"
