Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
3541046,regional,Bad Nauheim,"50.367909,8.749093",Friedberg (Hess),"50.332535,8.761588"
3541207,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
3543099,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
3713709,regional,Rostock Hbf,"54.078197,12.131257",Stralsund Hbf,"54.308438,13.078028"
3714779,regional,Stralsund Hbf,"54.308438,13.078028",Rostock Hbf,"54.078197,12.131257"
3927862,regional,Frankfurt(Main)Süd,"50.099302,8.686187",Hanau Hbf,"50.120903,8.92921"
3936936,regional,Hanau Hbf,"50.120903,8.92921",Darmstadt Ost,"49.874904,8.673772"
4080705,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4081478,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
4343340,regional,Darmstadt Hbf,"49.872549,8.629707",Heidelberg Hbf,"49.403582,8.67548"
4344276,regional,Karlsruhe-Durlach,"49.002025,8.462292",Wilferdingen-Singen,"48.953744,8.572797"
4357704,regional,Wilferdingen-Singen,"48.953744,8.572797",Stuttgart Hbf,"48.785052,9.182589"
4364047,regional,Darmstadt Ost,"49.874904,8.673772",Darmstadt Hbf,"49.872549,8.629707"
4378560,regional,Frankfurt-Höchst,"50.102754,8.542449",Frankfurt(Main)Hbf,"50.106817,8.663003"
4378600,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Ost,"49.874904,8.673772"
4380456,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4382298,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
4449192,regional,Ostkreuz,"52.503037,13.469105",Berlin-Schöneweide,"52.455204,13.508773"
4451031,regional,Ludwigslust,"53.335122,11.493751",Schwerin Hbf,"53.634723,11.407527"
4451111,regional,Schwerin Hbf,"53.634723,11.407527",Rostock Hbf,"54.078197,12.131257"
4838461,regional,"Rostock, Hauptbahnhof","54.078297,12.130989",Hamburg Hbf,"53.553533,10.00636"
4841778,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Darmstadt Hbf,"49.872549,8.629707"
4841790,regional,Kassel-Wilhelmshöhe,"51.312998,9.446845",Frankfurt(Main)Hbf,"50.106817,8.663003"
4859487,regional,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
