Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
3519711,suburban,Mainz-Bischofsheim,"49.992941,8.358062",Wiesbaden Hbf,"50.070788,8.243728"
3526959,suburban,Frankfurt(Main)Hbf,"50.106817,8.663003",Niederjosbach,"50.149282,8.352354"
3528613,suburban,Niederjosbach,"50.149282,8.352354",Niedernhausen(Taunus),"50.159988,8.312388"
3533690,suburban,Ludwigshafen(Rh)Hbf,"49.477257,8.433769",Mannheim Hbf,"49.479181,8.469268"
3541099,suburban,Friedberg (Hess),"50.332535,8.761588",Frankfurt(Main)Hbf,"50.106817,8.663003"
3566584,suburban,Berlin Hbf,"52.524924,13.369629",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
3567350,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Warschauer Straße,"52.505948,13.45224"
3567390,suburban,Berlin Warschauer Straße,"52.505948,13.45224",Berlin Zoologischer Garten,"52.507242,13.332414"
3571731,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Warschauer Straße,"52.505948,13.45224"
3572632,suburban,Berlin Hermannstraße,"52.467645,13.430945",Berlin Südkreuz,"52.47623,13.365863"
3573552,suburban,Berlin Südkreuz,"52.47623,13.365863",Berlin Yorckstr.(S2),"52.491206,13.372048"
3574144,suburban,Berlin Warschauer Straße,"52.505948,13.45224",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
3575670,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Ostkreuz,"52.503305,13.468861"
3575691,suburban,Berlin Ostkreuz,"52.503305,13.468861",Berlin Jungfernheide (S),"52.530408,13.299424"
3577617,suburban,Berlin-Tiergarten,"52.514281,13.336414",Berlin Hbf,"52.524924,13.369629"
3663310,suburban,Rostock Hbf,"54.078197,12.131257",Warnemünde,"54.175685,12.091525"
3664518,suburban,Warnemünde,"54.175685,12.091525",Rostock Hbf,"54.078197,12.131257"
3730707,suburban,Berlin Hbf,"52.524924,13.369629",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
3736112,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Hbf,"52.524924,13.369629"
3924049,suburban,Frankfurt(Main)Hbf,"50.106817,8.663003",Mühlheim(Main),"50.119258,8.838248"
3927619,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
4343952,suburban,Heidelberg Hbf,"49.403582,8.67548",Karlsruhe-Durlach,"49.002025,8.462292"
4377415,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(M)Konstablerwache,"50.114637,8.686393"
4377717,suburban,Frankfurt(M)Konstablerwache,"50.114637,8.686393",Frankfurt-Höchst Farbwerke,"50.098727,8.528678"
4380665,suburban,Frankfurt(Main)Hbf,"50.106817,8.663003",Bad Homburg,"50.220009,8.621356"
4382154,suburban,Bad Homburg,"50.220009,8.621356",Frankfurt(Main)Hbf,"50.106817,8.663003"
4437051,suburban,Berlin Hbf,"52.524924,13.369629",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
4442297,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Ostkreuz,"52.503305,13.468861"
4442467,suburban,Berlin Ostkreuz,"52.503305,13.468861",Berlin Bundesplatz,"52.477695,13.329295"
4444973,suburban,Berlin Südkreuz,"52.47623,13.365863",Berlin Ostkreuz,"52.503305,13.468861"
4445085,suburban,Berlin Ostkreuz,"52.503305,13.468861",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
4448013,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Alexanderplatz,"52.521526,13.411088"
4449087,suburban,Berlin Alexanderplatz,"52.521526,13.411088",Berlin Ostkreuz,"52.503305,13.468861"
4450654,suburban,Berlin-Schöneweide (S),"52.454979,13.509115",Berlin Südkreuz,"52.47623,13.365863"
4694849,suburban,Berlin Ostkreuz,"52.503305,13.468861",Berlin Betriebsbf Rummelsburg,"52.49392,13.497573"
4700072,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Jannowitzbrücke,"52.514227,13.419681"
4704262,suburban,Berlin Betriebsbf Rummelsburg,"52.49392,13.497573",Berlin Hbf,"52.524924,13.369629"
5043512,suburban,Basel SBB,"47.547408,7.589548",Dornach(CH)-Arlesheim,"47.489077,7.611212"
5045483,suburban,Dornach(CH)-Arlesheim,"47.489077,7.611212",Basel SBB,"47.547408,7.589548"
5063853,suburban,Hamburg Hbf,"53.553533,10.00636",Hamburg Langenfelde,"53.57934,9.931048"
5546101,suburban,S Südkreuz Bhf (Berlin),"52.47588,13.365602",S+U Tempelhof (Berlin),"52.471027,13.384476"
5637739,suburban,Schwetzingen,"49.383428,8.578712",Karlsruhe Hbf,"48.99353,8.401939"
5774611,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
5779695,suburban,Güstrow,"53.800754,12.172608",Rostock Hbf,"54.078197,12.131257"
6022459,suburban,Dresden Hbf,"51.040221,13.731409",Bad Schandau Nationalparkbahnhof,"50.91921,14.137704"
6036715,suburban,Bad Schandau Nationalparkbahnhof,"50.91921,14.137704",Dresden Hbf,"51.040221,13.731409"
6073243,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
6073569,suburban,Frankfurt(Main)Süd,"50.099302,8.686187",Offenbach(Main) Ost,"50.102762,8.784375"
6073689,suburban,Offenbach(Main) Ost,"50.102762,8.784375",Obertshausen(Kr Of),"50.072011,8.853737"
6152444,suburban,S+U Alexanderplatz Bhf (Berlin),"52.52145,13.411009","Warschauer Str. (S+U), Berlin","52.505238,13.449112"
6180113,suburban,S+U Gesundbrunnen Bhf (Berlin),"52.54913,13.389907",S Ostkreuz Bhf (Berlin),"52.503315,13.469607"
6185101,suburban,S+U Zoologischer Garten Bhf (Berlin),"52.50707,13.331736",S Ostbahnhof (Berlin),"52.51006,13.433347"
6185140,suburban,S Ostbahnhof (Berlin),"52.51006,13.433347",S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724"
6189090,suburban,S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724",S Ostkreuz Bhf (Berlin),"52.503315,13.469607"
6189095,suburban,S Ostkreuz Bhf (Berlin),"52.503315,13.469607",S+U Gesundbrunnen Bhf (Berlin),"52.54913,13.389907"
6263529,suburban,S Ostkreuz Bhf (Berlin),"52.503315,13.469607",S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724"
6267554,suburban,S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724",S Ostkreuz Bhf (Berlin),"52.503315,13.469607"
6330923,suburban,Frankfurt(Main)Süd,"50.099302,8.686187",Langen(Hess),"49.993535,8.656828"
6345232,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt (Main) West,"50.118862,8.639334"
6673496,suburban,Hamburg Hbf,"53.553533,10.00636",Hamburg Dammtor,"53.560841,9.989533"
6673897,suburban,Hamburg Dammtor,"53.560841,9.989533",Hamburg Hbf,"53.553533,10.00636"
