Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
5779695,suburban,Güstrow,"53.800754,12.172608",Rostock Hbf,"54.078197,12.131257"
6022459,suburban,Dresden Hbf,"51.040221,13.731409",Bad Schandau Nationalparkbahnhof,"50.91921,14.137704"
6073569,suburban,Frankfurt(Main)Süd,"50.099302,8.686187",Offenbach(Main) Ost,"50.102762,8.784375"
6073689,suburban,Offenbach(Main) Ost,"50.102762,8.784375",Obertshausen(Kr Of),"50.072011,8.853737"
6152444,suburban,S+U Alexanderplatz Bhf (Berlin),"52.52145,13.411009","Warschauer Str. (S+U), Berlin","52.505238,13.449112"
6180113,suburban,S+U Gesundbrunnen Bhf (Berlin),"52.54913,13.389907",S Ostkreuz Bhf (Berlin),"52.503315,13.469607"
6185101,suburban,S+U Zoologischer Garten Bhf (Berlin),"52.50707,13.331736",S Ostbahnhof (Berlin),"52.51006,13.433347"
6185140,suburban,S Ostbahnhof (Berlin),"52.51006,13.433347",S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724"
6189090,suburban,S Betriebsbahnhof Rummelsburg (Berlin),"52.49397,13.497724",S Ostkreuz Bhf (Berlin),"52.503315,13.469607"
6330923,suburban,Frankfurt(Main)Süd,"50.099302,8.686187",Langen(Hess),"49.993535,8.656828"
6345232,suburban,Darmstadt Hbf,"49.872549,8.629707",Frankfurt (Main) West,"50.118862,8.639334"
6673496,suburban,Hamburg Hbf,"53.553533,10.00636",Hamburg Dammtor,"53.560841,9.989533"
