Status-ID,Category,Departure station name,Departure station coordinates,Destination station name,Destination station coordinates
5445738,tram,Bremen Am Brill (Hutfilter-/Obernstraße),"53.078705,8.801619",Bremen Konsul-Smidt-Straße,"53.086697,8.782151"
5448903,tram,Bremen Wartburgstraße,"53.09372,8.78883",Bremen Hauptbahnhof,"53.081413,8.81365"
5449027,tram,Bremen Hauptbahnhof,"53.081413,8.81365",Bremen Universität-Süd,"53.105026,8.851518"
5489241,tram,"Rostock, Majakowskistraße","54.069443,12.116225",Rostock Neuer Markt,"54.08899,12.140408"
5492074,tram,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
6065632,tram,"Rostock, Südstadt-Center","54.07215,12.117195","Rostock, Kröpeliner Tor","54.089817,12.129987"
6081273,tram,Darmstadt Kasinostraße,"49.874973,8.642866",Darmstadt Schulstraße,"49.870167,8.656562"
6081925,tram,Darmstadt Luisenplatz,"49.872883,8.650254",Darmstadt Rhein-/Neckarstraße,"49.871532,8.644714"
6150752,tram,"Rosenthaler Platz (U), Berlin","52.529787,13.401406","Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888"
6152439,tram,"Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888",S+U Alexanderplatz Bhf/Gontardstr. (Berlin),"52.521027,13.411285"
6156394,tram,"Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888",S+U Berlin Hauptbahnhof,"52.526585,13.369713"
6232141,tram,"Rostock, Lomonossowstraße","54.065098,12.117213",Rostock Neuer Markt,"54.08899,12.140408"
6545389,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Lange Straße","54.0899,12.134057"
