Status-ID,"Departure station name","Departure station coordinates","Destination station name","Destination station coordinates"
4100639,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4100710,"Darmstadt Hbf","49.872549,8.629707","Rostock Hbf","54.078197,12.131257"
4214186,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4214439,"Hauptbahnhof (U), Rostock","54.078359,12.130907","Lomonossowstraße, Rostock","54.065289,12.117243"
4328205,"Lomonossowstraße, Rostock","54.065289,12.117243","Rostock Südblick, Papendorf b Rostock","54.057648,12.11709"
4329605,"Südblick, Rostock","54.058115,12.116362","Lomonossowstraße, Rostock","54.065307,12.117342"
4339184,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4339935,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
4339945,"Hamburg Hbf","53.553533,10.00636",Frankfurt(Main)Hbf,"50.106817,8.663003"
4341481,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4341813,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4343340,"Darmstadt Hbf","49.872549,8.629707","Heidelberg Hbf","49.403582,8.67548"
4343952,"Heidelberg Hbf","49.403582,8.67548",Karlsruhe-Durlach,"49.002025,8.462292"
4344276,Karlsruhe-Durlach,"49.002025,8.462292",Wilferdingen-Singen,"48.953744,8.572797"
4357704,Wilferdingen-Singen,"48.953744,8.572797","Stuttgart Hbf","48.785052,9.182589"
4358134,"Stuttgart Hbf","48.785052,9.182589","Frankfurt(M) Flughafen Fernbf","50.052926,8.569776"
4358383,"Flughafen Terminal 1, Frankfurt a.M.","50.05085,8.570585","Darmstadt Hbf","49.872549,8.629707"
4358419,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4363730,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
4364047,"Darmstadt Ost","49.874904,8.673772","Darmstadt Hbf","49.872549,8.629707"
4364195,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4375585,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
4377303,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4377415,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(M)Konstablerwache,"50.114637,8.686393"
4377717,Frankfurt(M)Konstablerwache,"50.114637,8.686393","Frankfurt-Höchst Farbwerke","50.098727,8.528678"
4378560,Frankfurt-Höchst,"50.102754,8.542449",Frankfurt(Main)Hbf,"50.106817,8.663003"
4378600,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Ost","49.874904,8.673772"
4378663,"Ostbahnhof, Darmstadt","49.874706,8.673224","Kasinostraße, Darmstadt","49.875066,8.643398"
4380453,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4380456,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4380665,Frankfurt(Main)Hbf,"50.106817,8.663003","Bad Homburg","50.220009,8.621356"
4380795,"Bahnhof, Bad Homburg v.d. Höhe","50.220692,8.620727","Seedammbad, Bad Homburg v.d. Höhe","50.224234,8.632674"
4382154,"Bad Homburg","50.220009,8.621356",Frankfurt(Main)Hbf,"50.106817,8.663003"
4382298,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4382645,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4396574,"Luisenplatz, Darmstadt","49.872882,8.651254","Kasinostraße, Darmstadt","49.875066,8.643398"
4401503,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4404744,Frankfurt(Main)Hbf,"50.106817,8.663003","Rostock Hbf","54.078197,12.131257"
4435615,"Rostock Hbf","54.078197,12.131257",Ludwigslust,"53.335122,11.493751"
4436440,Ludwigslust,"53.335122,11.493751","Berlin Hbf","52.3928,13.036498"
4437051,"Berlin Hbf","52.524924,13.369629","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4442297,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Ostkreuz","52.503305,13.468861"
4442467,"Berlin Ostkreuz","52.503305,13.468861","Berlin Bundesplatz","52.477695,13.329295"
4442638,"Bundesplatz (S+U), Berlin","52.477713,13.328522","Rathaus Steglitz [U9] (S+U), Berlin","52.456858,13.320773"
4444973,"Berlin Südkreuz","52.47623,13.365863","Berlin Ostkreuz","52.503305,13.468861"
4445085,"Berlin Ostkreuz","52.503305,13.468861","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4448013,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Alexanderplatz","52.521526,13.411088"
4449087,"Berlin Alexanderplatz","52.521526,13.411088","Berlin Ostkreuz","52.503305,13.468861"
4449192,Ostkreuz,"52.503037,13.469105",Berlin-Schöneweide,"52.455204,13.508773"
4450654,"Berlin-Schöneweide (S)","52.454979,13.509115","Berlin Südkreuz","52.47623,13.365863"
4450850,"Berlin Südkreuz","52.47623,13.365863",Ludwigslust,"53.335122,11.493751"
4451031,Ludwigslust,"53.335122,11.493751","Schwerin Hbf","53.634723,11.407527"
4451111,"Schwerin Hbf","53.634723,11.407527","Rostock Hbf","54.078197,12.131257"
4693692,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4693813,"Rostock Hbf","54.078197,12.131257",Ostkreuz,"52.503037,13.469105"
4694849,"Berlin Ostkreuz","52.503305,13.468861","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4700072,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Jannowitzbrücke","52.514227,13.419681"
4700076,"Jannowitzbrücke (S+U), Berlin","52.515503,13.418126","Boddinstr. (U), Berlin","52.479798,13.425408"
4704262,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Hbf","52.524924,13.369629"
4704769,"Berlin Hbf","52.3928,13.036498","Rostock Hbf","54.078197,12.131257"
4838461,"Rostock, Hauptbahnhof","54.078297,12.130989","Hamburg Hbf","53.553533,10.00636"
4839232,"Hamburg Hbf","53.553533,10.00636",Hamburg-Harburg,"53.456198,9.991591"
4839372,Hamburg-Harburg,"53.456198,9.991591",Kassel-Wilhelmshöhe,"51.312998,9.446845"
4841778,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4841790,Kassel-Wilhelmshöhe,"51.312998,9.446845",Frankfurt(Main)Hbf,"50.106817,8.663003"
4841801,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
4846076,"Darmstadt Hbf","49.872549,8.629707","Stuttgart Hbf","48.785052,9.182589"
4854993,"Stuttgart Hbf","48.785052,9.182589","Darmstadt Hbf","49.872549,8.629707"
4859487,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4860197,Frankfurt(Main)Hbf,"50.106817,8.663003",Kassel-Wilhelmshöhe,"51.312998,9.446845"
4861153,Kassel-Wilhelmshöhe,"51.312998,9.446845",Hamburg-Harburg,"53.456198,9.991591"
4862228,Hamburg-Harburg,"53.456198,9.991591","Hamburg Hbf","53.553533,10.00636"
4862540,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
5007220,"Gleisdreieck (U), Berlin","52.49953,13.374178","S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322"
5007224,"S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322","S+U Berlin Hauptbahnhof","52.526585,13.369713"
5010698,"Berlin Ostbahnhof","52.510972,13.434558","Basel Bad Bf","47.567679,7.607886"
5013929,"Freiburg (Breisgau) Hbf","47.997884,7.841335","Basel SBB","47.547408,7.589548"
5026823,"Basel, Tellplatz","47.54286,7.594186","Basel, Heuwaage","47.551273,7.588046"
5029029,"Basel, Heuwaage","47.551273,7.588046","Basel, Tellplatz","47.54286,7.594186"
5030501,"Basel, Bruderholzstrasse","47.540504,7.591804","Basel, St. Jakob","47.54099,7.618439"
5031758,"Basel, St. Jakob","47.54099,7.618439","Basel, Bruderholzstrasse","47.540504,7.591804"
5035285,"Basel, Tellplatz","47.54286,7.594186","Basel, Theater","47.553125,7.589781"
5035293,"Basel, Bankverein","47.553611,7.592253","Basel, Kunstmuseum","47.554456,7.594078"
5036760,"Basel, Schifflände","47.559202,7.587156","Basel, Peter-Merian","47.545323,7.596164"
5038013,"Basel, Tellplatz","47.54286,7.594186","Basel, Messeplatz","47.563454,7.599615"
5038898,"Basel, Messeplatz","47.563454,7.599615","Basel, Tellplatz","47.54286,7.594186"
5043481,"Basel, Tellplatz","47.54286,7.594186","Basel, Bhfeingang Gundeldingen","47.545616,7.587342"
5043512,"Basel SBB","47.547408,7.589548",Dornach(CH)-Arlesheim,"47.489077,7.611212"
5043819,"Dornach, Bahnhof","47.490105,7.610967","Gempen, Dorf","47.476151,7.65889"
5045483,Dornach(CH)-Arlesheim,"47.489077,7.611212","Basel SBB","47.547408,7.589548"
5045653,"Basel, Bhfeingang Gundeldingen","47.545616,7.587342","Basel, Tellplatz","47.54286,7.594186"
5050443,"Basel, Tellplatz","47.54286,7.594186","Basel, Bankverein","47.553611,7.592253"
5051267,"Basel, Theater","47.553125,7.589781","Basel, Messeplatz","47.563454,7.599615"
5054197,"Basel, Messeplatz","47.563454,7.599615","Basel, Grosspeterstrasse","47.545871,7.598564"
5056009,"Basel SBB","47.547408,7.589548","Hannover Hbf","52.377079,9.741763"
5057440,"Hannover Hbf","52.377079,9.741763","S+U Berlin Hauptbahnhof","52.526585,13.369713"
5063487,"Berlin Hbf","52.524924,13.369629","Hamburg Hbf","53.553533,10.00636"
5063853,"Hamburg Hbf","53.553533,10.00636","Hamburg Langenfelde","53.57934,9.931048"
5069771,"Hamburg Burgstraße","53.555775,10.041764","Hamburg Hauptbahnhof Nord","53.554024,10.005202"
5071650,"Hamburg Hbf","53.553533,10.00636",Ludwigslust,"53.335122,11.493751"
5072347,Ludwigslust,"53.335122,11.493751","Rostock Hbf","54.078197,12.131257"
5089928,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
5089932,"Rostock, Steintor / IHK","54.085865,12.142689","Rostock, Albert-Schulz-Str.","54.08988,12.187012"
5131041,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5131061,"Hamburg Hbf","53.553533,10.00636",Frankfurt(Main)Hbf,"50.106817,8.663003"
5131886,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5131887,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
5135414,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Luisenplatz","49.872883,8.650254"
5135459,"Darmstadt Luisenplatz","49.872883,8.650254",Darmstadt-Kranichstein,"49.906816,8.679319"
5136766,Darmstadt-Kranichstein,"49.906816,8.679319","Darmstadt-Kranichstein Siemensstraße","49.89639,8.680036"
5137617,"Darmstadt Am Karlshof","49.882107,8.665799","Darmstadt Rhein-/Neckarstraße","49.871532,8.644714"
5137635,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Kasinostraße","49.874973,8.642866"
5141093,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5141185,"Darmstadt Hbf","49.872549,8.629707","Karlsruhe Hbf","48.99353,8.401939"
5141939,"Karlsruhe Hauptbahnhof (Vorplatz)","48.99442,8.399458","Karlsruhe ZKM","48.999795,8.386109"
5145248,"Karlsruhe ZKM","48.999795,8.386109","Karlsruhe Hauptbahnhof (Vorplatz)","48.99442,8.399458"
5145450,"Karlsruhe Hbf","48.99353,8.401939",Frankfurt(Main)Hbf,"50.106817,8.663003"
5145990,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5147795,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Luisenplatz","49.872883,8.650254"
5147834,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Am Karlshof","49.882107,8.665799"
5155189,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5155194,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
5155646,"Frankfurt (Main) Platz der Republik","50.109116,8.659346","Frankfurt (Main) Otto-Hahn-Platz","50.101006,8.674513"
5157426,Frankfurt(Main)Hbf,"50.106817,8.663003","Rostock Hbf","54.078197,12.131257"
